code,csname,extname,cname,index_code,index_name,indx_csname,pub_party_name,pub_date,base_date,bp,adj_circle,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
159709,物联网ETF工银,物联网ETF工银,工银瑞信深证物联网50交易型开放式指数证券投资基金,399285.SZ,深证物联网50指数,物联网50,深圳证券信息有限公司,20200218,20121231,1000.0,半年,2021-06-18,2021-07-02,L,SZ,工银瑞信基金,国信证券股份有限公司,0.45,纯境内
513870,富国纳斯达克100ETF(QDII),纳指ETF富国,富国纳斯达克100交易型开放式指数证券投资基金(QDII),NDX.NASDAQ,纳斯达克100指数,纳斯达克100指数,美国纳斯达克证券交易所,19850201,19850131,125.0,,2023-10-25,2023-11-02,L,SH,富国基金,招商银行股份有限公司,0.5,QDII
159528,富国中证国有企业改革ETF,国企改革ETF,富国中证国有企业改革交易型开放式指数证券投资基金,399974.SZ,中证国有企业改革指数,国企改革,中证指数有限公司,20140807,20140331,1000.0,三个月,2024-05-07,2024-05-20,L,SZ,富国基金,中国农业银行股份有限公司,0.5,纯境内
510710,博时上证50ETF,上证50ETF博时,博时上证50交易型开放式指数证券投资基金,000016.SH,上证50指数,上证50,中证指数有限公司,20040102,20031231,1000.0,半年,2015-05-27,2015-06-15,L,SH,博时基金,招商银行股份有限公司,0.15,纯境内
511960,嘉实快线货币H,嘉实快线ETF,嘉实快线货币市场基金H类,,,,,,,,,2015-12-28,2016-01-11,L,SH,嘉实基金,上海浦东发展银行股份有限公司,0.15,纯境内
517660,天弘中证沪港深物联网主题ETF,物联网ETF天弘,天弘中证沪港深物联网主题交易型开放式指数证券投资基金,931575.CSI,中证沪港深物联网主题指数,SHS物联网,中证指数有限公司,20150731,20121231,1000.0,半年,2021-10-12,2021-10-25,L,SH,天弘基金,中信建投证券股份有限公司,0.5,纯境内
159238,景顺长城沪深300增强策略ETF,300ETF增强,景顺长城沪深300增强策略交易型开放式指数证券投资基金,000300.SH,沪深300指数,沪深300,中证指数有限公司,20050408,20041231,1000.0,半年,2025-05-28,2025-06-09,L,SZ,景顺长城基金,兴业银行股份有限公司,0.5,纯境内
530530,华夏上证580ETF,上证580ETF华夏,华夏上证580交易型开放式指数证券投资基金,950580.CSI,上证580指数,上证580,中证指数有限公司,20250616,20181228,1000.0,半年,2025-08-20,2025-08-29,L,SH,华夏基金,中国工商银行股份有限公司,0.15,纯境内
159840,锂电池ETF,锂电池ETF,工银瑞信国证新能源车电池交易型开放式指数证券投资基金,980032.SZ,国证新能源车电池指数,新能电池,深圳证券信息有限公司,20150217,20021231,1000.0,半年,2021-08-05,2021-08-20,L,SZ,工银瑞信基金,中信建投证券股份有限公司,0.45,纯境内
517850,汇添富中证沪港深张江自主创新50ETF,张江ETF,汇添富中证沪港深张江自主创新50交易型开放式指数证券投资基金,931596.CSI,中证沪港深张江自主创新50指数,SHS张江50,中证指数有限公司,20201218,20141231,1000.0,半年,2022-04-28,2022-05-16,L,SH,汇添富基金,上海浦东发展银行股份有限公司,0.15,纯境内
562910,易方达中证装备产业ETF,高端制造ETF,易方达中证装备产业交易型开放式指数证券投资基金,H11054.CSI,中证装备产业指数,装备产业,中证指数有限公司,20090722,20081231,1000.0,半年,2021-12-29,2022-01-10,L,SH,易方达基金,中信银行股份有限公司,0.15,纯境内
